F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
DATL0301,립톤 아이스티 복숭아,240,70,0,0,18,18,10,0,0,0
DTSM0200,마운틴듀,250,120,0,0,30,30,6,0,0,0
SGJM0300,맛동산,30,150,3,7,19,7,15,0,1.5,0
RBJM0400,맛있는라면,115,480,9,15,77,4,1720,0,8,0
RBJM0500,맛짬뽕,130,575,9,21,87,6,1780,10,9,0
SSNS0100,매운새우깡,30,150,2,7,20,2.1,220,0.9,0,0
DACM0600,맥스웰하우스 싱글카페 카푸치노,281,175,4,3.4,32,32,110,10,2.3,0
DACM0700,맥심 에스프레소 T.O.P 더 블랙,275,48,0,0,12,11,35,0,0,0
DACM0701,맥심 에스프레소 T.O.P 마스터 라떼,12,50,0,1.4,9,5.7,5,0,1.4,0
DACM0702,맥심 에스프레소 T.O.P 스위트 아메리카노,275,109,2.2,3.1,18,18,50,10,2.2,0
SSNS0200,못말리는 신짱,100,528,5,28,64,22,290,5,9,0
RBJM0800,무파마탕면,122,510,10,15,84,5,1720,0,8,0
RCPM0801,무파마탕면큰사발,112,495,9,17,76,4,1570,0,8,0
SGJM0900,미쯔블랙,42,208,3,8,31,14,120,0,4,0
RBJB0203,미트스파게티 불닭볶음면,140,555,15,16,85,10,1570,0,8,0
DTSM1000,밀키스,250,130,0,0,31,31,16,0,0,0
SGJB0400,바나나킥,30,125,1,1.9,26,13,40,0,0,0
SGJB0600,배배,40,192,2,8,28,13,160,10,4.9,0
RBJB0800,배홍동비빔면,137,585,9,24,83,16,1350,5,11,0
SCKB1000,버터와플,26.34,125,2,4.3,20,8,80,20,3.1,0.1
SGJB1200,벌집핏자,30,155,1,8,20,2.1,190,0,0,0.3
SSNB1400,별뽀빠이,30,140,3,5,22,5,95,0,2,0
RBJB1600,보글보글부대찌개면,127,545,11,17,87,5,1850,5,8,0
RCPB1601,보글보글부대찌개큰사발면,109,480,9,16,75,5,1690,5,8,0
RBJN0300,볶음너구리,137,610,12,24,87,9,1280,3,8,0
RCPN0301,볶음너구리큰사발면,110,515,10,22,69,6,1090,3,9,0
RCPJ0100,볶음진짬뽕,110,450,9,16,67,8,1240,10,7,0
RBJB1700,부대찌개라면,130,515,14,15,81,7,1790,5,7,0
RBJB0204,불닭볶음면,140,530,12,16,85,7,1280,0,8,0
DHDB0101,비타500,100,50,0,0,12,11,30,0,0,0
DHDB0102,비타500 A.C.E,100,50,0,0,12,11,30,0,0,0
DHDB0103,비타500칼슘,100,50,0,0,12,11,30,0,0,0
DHDB0300,비타파워,180,44,0,0,11,11,26,0,0,0
RCPB0500,빅3 볶음김치면,154,560,10,27,69,4,1980,0,14,0
SBSB0700,빠다코코낫,50,235,3,11,31,8,130,0,4.5,0
SGJB0900,빠삭한닭칩 후라이드치킨맛,30,175,2,12,15,2,300,0,4,0
SSNB1100,빠새(빠삭한새우칩),60,360,4,26,28,3,360,3,0,0
SGJB1300,뻥소리,30,39.15,0.36,0.9,7.47,1.14,15.3,0,0.36,0
SGJB1500,뽀또치즈타르트,100,504,7,24,65,20,510,15,15,0
SSNS0300,사또밥,30,170,1,11,17,4,40,0,4,0
SSNS0301,사또밥 갈릭버터맛,30,170,1,11,17,3,170,0,4.4,0
RBJS0400,사리곰탕면,110,490,12,16,74,3,1700,0,8,0
RCPS0401,사리곰탕큰사발면,111,490,8,17,76,3,1590,0,8,0
SGJS0500,사브레,35,170,2,7,25,10,65,3,0,0
RBJJ0204,사천짜파게티,137,600,11,21,92,8,1080,0,8,0
RCPJ0201,사천짜파게티큰사발면,115,535,9,20,80,9,1010,0,9,0
RBJS0600,삼양라면 매운맛,120,515,9,18,79,5,1780,0,9,0
RBJS0601,삼양라면 오리지널,120,500,10,16,79,5,1780,0,8,0
RBJS0700,삼양비빔면,135,560,9,20,86,13,1390,0,10,0
SSNS0101,새우깡,30,150,2,8,18,1.8,200,0,0,0
RCPS0800,새우탕큰사발면,115,500,10,18,77,5,1590,10,9,0
DHDS0900,솔의눈,240,75,0,0,19,19,30,0,0,0
RBJS1000,쇠고기미역국라면,115,450,11,16,65,2,1800,5,8,0
RBJN0302,순한 너구리,120,500,9,15,82,4,1480,3,8,0
RBJS1100,스낵면,108,475,10,17,70,4,1710,0,9,0
RCPS1101,스낵면 Cup,62,285,5,12,39,3,1200,0,5,0
SGJS1200,스윙칩 볶음고추장맛,60,347,3,23,32,2,220,0,0,0
DHDS1300,스타벅스 시그니처 초콜릿 드링크,275,185,4,6,29,29,160,17,3.9,0
DACS1301,스타벅스 파이크 플레이스 로스트 블랙 커피,275,6,0,0.3,0,0,25,0,0,0
DACS1302,스타벅스 프라푸치노 모카,281,160,5,3.3,27,27,120,10,2.1,0
DACS1303,스타벅스 프라푸치노 카라멜향,281,175,5,3.2,32,31,110,10,2,0
DACS1304,스타벅스 프라푸치노 커피,281,175,5,3.2,32,31,110,10,2,0
SGJS1400,신당동 장독대를 뛰쳐나온 떡볶이 총각의 맛있는 프로포즈,30,160,1,9,19,10,150,0,0,0
RBJS1500,신라면,120,500,10,16,79,4,1790,0,9,0
RBJS1501,신라면건면,97,350,9,4.6,68,4,1790,0,1.4,0
RBJS1502,신라면볶음면,131,600,10,25,84,9,1390,5,10,0
RCPS1503,신라면볶음면큰사발,103,465,9,17,69,9,1400,5,7,0
RBJS1504,신라면블랙,134,575,12,18,91,8,1780,10,9,0
RCPS1505,신라면블랙사발,101,445,9,15,68,5,1530,10,7,0
RCPS1506,신라면컵,65,300,5,10,47,3,1290,0,5,0
RCPS1507,신라면큰사발,114,490,9,17,75,6,1550,0,8,0
DATS1600,실론티,240,72,0,0,17,14,5,0,0,0
SGJS0102,쌀새우깡,30,150,2,7,20,1.9,170,3,0,0
DATE0400,아침헛개,500,5,0,0,0,0,40,0,0,0
