F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47
SGJK1502,크라운산도 크림,전체,밀가루(밀:미국산),포도당,"쇼트닝(팜유(말레이시아산),팜핵경화유(말레이시아산))",설탕,쇼트닝,기타설탕,기타가공품(가공유장분),전란액,혼합식용유,기타가공품(리얼밀크파우더{유크림(이탈리아산)}),기타가공품(가공전지분),물엿,가공치즈(마스카포네치즈분말),탄산수소암모늄,탄산수소나트륨,제일인산칼슘,구연산,기타가공품(탈지밀),과채가공품,정제소금,유화제,"혼합제제(효모,밀가루)",프로테아제(세균성)(효소제),"혼합제제(프로필렌글리콜,바닐라오일)","혼합제제(정제가공유지,합성향료)","혼합제제(합성향료,프로필렌글리콜)",바닐린,천연향료(바닐라추출물),,,,,,,,,,,,,,,,,,,
SGJK1600,크라운츄러스,전체,밀가루,혼합식용유,갈색설탕,백설탕,곡류가공품(곡물분말),당시럽류(메이플시럽),조미식품(계피분말),정제소금,탄산수소암모늄,탄산수소나트륨,가공소금,식품첨가물혼합제제(메이플향),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWFH0500,화이트하임,전체,식물성유지(말레이시아산),설탕,기타가공품,유청,고지방분말,유당,헤젤넛트페이스트,올리고당,대두분,쇼트닝,옥수수기름(옥배유),산도조절제(1(탄산수소나트륨)),산도조절제(2(탄산수소암모늄)),유화제(3(자당지방산에스테르)),유화제(1(레시틴)),유화제(2(글리세린지방산에스테르)),"혼합분유(네덜란드산:탈지분유,유청)",덱스트린,정제소금,구아검,효소제,밀가루(밀:미국산),헤이즐넛향,이소말트,밀크향,식물성유지(싱가포르산),,,,,,,,,,,,,,,,,,,,,
SBSG1000,구운감자,전체,전분가공품(감자전분플러스),전분가공품(프리씨사 크리스프 7310 에이치(타피오카 알파 전분)),식물성유지(혼합팜유),서류가공품(감자분말),곡류가공품(소프트텐),마가린,쇼트닝,기타전분(MERITENA 200),백설탕,전분가공품(찰옥수수전분),당류가공품(카라멜리본),가공연유(밀키페이스트),탄산수소암모늄,정제소금,천일염(머메이드 프리미엄 솔트),곡류가공품(아미글루텐),제삼인산나트륨,감자향분말,당류가공품(크림농축분말),탄산수소나트륨,레시틴,L-라이신염산염,구아검,식용유지류(프라임스팀드포테토후레바),제일인산칼슘,아스파라지나아제(Acrylaway L),정제수,,,,,,,,,,,,,,,,,,,,
SGJE0300,딸기웨하스,전체,밀가루(소맥분),쇼트닝,기타설탕(고화방지분당),분말결정포도당(포도당),유청단백분말(힐마 8000),과채가공품(진공동결건조딸기분말),탄산수소암모늄,전란분,정제소금,탄산수소나트륨,식품첨가물(에스와이 레드 오일 K-3590),합성향료(딸기향 SE-918B),레시틴,구연산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJM0300,맛동산,전체,밀가루(강력분),혼합식용유,갈색설탕,물엿,땅콩분태,곡류가공품(볶음소맥분),난백액,D-소비톨,가공연유(밀키페이스트),효모(생이스트),기타가공품(가공탈지분HT),쇼트닝(팜쇼트닝),난황액,정제소금,탄산수소암모늄,곡류가공품(다이엑스),탄산칼슘,프로테아제(USP-5 NAS),기타가공품(유산균),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJB0900,빠삭한닭칩 후라이드치킨맛,전체,밀가루(소맥분),혼합식용유,양념육(치킨스낵용반죽),혼합제제(아베베 에스피2),복합조미식품(후라이드치킨맛시즈닝),설탕(백설탕),곡류가공품(치킨스낵용배터믹스),변성전분(바카-스낵),소스(치킨농축액),정제소금,탄산수소나트륨,L-주석산수소칼륨,염화암모늄,혼합가공치즈(체다치즈분말),산성피로인산나트륨,향미증진제(핵산IG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNB1100,빠새(빠삭한새우칩),전체,소맥분,혼합식용유,냉동새우,혼합제제(아베베 에스피2),복합조미식품(구운새우맛씨즈닝),쌀가루,백설탕,건조감자분말,증숙감자,혼합가공치즈(체다치즈분말),새우분말,정제소금,탄산수소나트륨,향미증진제(핵산IG),L-주석산수소칼륨,염화암모늄,산성피로인산나트륨,정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJS0500,사브레,전체,밀가루,기타설탕(고화방지분당),쇼트닝(JS쇼트닝),전란액,가공버터,탄산수소암모늄,탄산수소나트륨,크림소다분말,기타가공품(가공탈지분-HT),레시틴,정제소금,밀크향(SK-7681),당류가공품(크림익스트랙트),바닐라향(SK-B8503),바닐린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJS1400,신당동 장독대를 뛰쳐나온 떡볶이 총각의 맛있는 프로포즈,전체,밀가루(박력밀가루),갈색설탕,혼합식용유,물엿,기타가공품(떡볶이맛시즈닝),쌀가루,고추장,포도당,탄산수소암모늄,파프리카추출색소,정제소금,탄산수소나트륨,파슬리플레이크(파슬리후레이크),크레카향,훈연향,바이오발효헥산(바이오발효핵산(I+G)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBSE0900,에이스,전체,정제수,밀가루,쇼트닝,혼합식용유,백설탕,곡류가공품,탄산수소암모늄,분말결정포도당,조제분,전지분유,정제소금,가공유크림(분말유크림),탄산수소나트륨(팽창제),제일인산칼슘(영양강화제),밀크향,Prozyme500,Maxazyme NNP-DS,비타민 B2,소프트텐,조제분,Prozyme500,Mazazyme NNP DS,비타민B1염산염(고시형),천일염,,,,,,,,,,,,,,,,,,,,,,,
SGJE2000,오사쯔,전체,기타가공품(오사쯔파스타),혼합식용유,복합조미식품(고구마맛시즈닝-1),야자유,고구마향,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJJ0300,자가비 짭짤한 맛,전체,냉동감자,혼합식용유,복합조미식품(짭짤한 맛 시즈닝 B),d-토코페롤(혼합형),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJK0400,칸츄리콘(콘버터맛),전체,옥수수가루,혼합식용유,혼합제제(아베베 에스피2),복합조미식품(콘버터맛시즈닝),밀가루,백설탕,정제소금,탄산수소나트륨,말티톨시럽,마가린,L-주석산수소칼륨,염화암모늄,치자황색소,산성피로인산나트륨,바이오발효핵산(바이오발효핵산(I+G)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJE0301,크림웨하스,전체,밀가루(소맥분),쇼트닝,기타설탕(고화방지분당),분말결정포도당(포도당),기타가공품(조제분),유청단백분말(힐마8000),탄산수소암모늄,전란분,기타가공품(생크림분말-HT),정제소금,탄산수소나트륨,합성향료(크림향),레시틴,합성향료(레몬향),바닐린,합성향료(바나나향),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJT1000,포키딸기,전체,식물성크림(에스크림),강력분,백설탕,과채가공품(동결건조딸기분말),과채가공품(동결건조딸기과립),쇼트닝,전지분유,곡류가공품(맥아엑기스),전분가공품(Preparation K-22),정제소금,효모(생이스트),버터,제3인산나트륨,합성향료(딸기향2),합성향료(딸기향1),합성향료(딸기향3),탄산수소나트륨,DL-사과산,합성향료(바닐라향1),안나토색소,구연산,정제효소제(프로픽스 100),,,,,,,,,,,,,,,,,,,,,,,,,
SGJH0200,허니버터칩,전체,감자,복합조미식품(허니버터 맛 시즈닝),혼합식용유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJH0300,홈런볼 무지방 우유,전체,전란액,식물성크림(밀크크림),마가린,밀가루,난백액,찰옥수수알파전분,무지방우유,글리세린지방산에스테르,정제소금,탄산수소암모늄,탄산수소나트륨,레시틴,바닐라향,비타민 B2,정제수,기타가공품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
